CountryName,Province,Area,HealthExpenditure,LifeExpectancy,Population,ExtraColumn
China,Ningxia Hui,66400,398.3315557,73.38,6880000,6880000
China,Qinghai,721200,398.3315557,69.96,6030000,6030000
China,Shaanxi,205600,398.3315557,74.68,38640000,38640000
China,Shandong,153800,398.3315557,76.46,100470000,100470000
China,Shanghai,6341,398.3315557,80.26,24240000,24240000
China,Shanxi,156300,398.3315557,74.92,37180000,37180000
China,Sichuan,485000,398.3315557,74.75,83410000,83410000
China,Tianjin,11305,398.3315557,78.89,15600000,15600000
China,Tibet,1228400,398.3315557,68.17,3440000,3440000
China,Xinjiang Uyghur,1660400,398.3315557,72.35,24870000,24870000
China,Yunnan,394000,398.3315557,69.54,48300000,48300000
China,Zhejiang,102000,398.3315557,77.73,57370000,57370000
